round,playerId,mapX,mapY,value,numberStars,score
1,A3,14,6,72,5,72
1,A5,2,2,2,0,2
1,A1,14,1,99,0,99
1,A2,0,3,2,0,2
1,A4,6,6,0,0,0
1,A5,10,3,72,5,72
1,A4,2,6,3,0,3
1,A3,12,3,1,0,1
1,A2,7,6,4,0,4
1,A4,2,4,9,0,9
1,A1,2,3,3,5,3
1,A5,5,9,2,0,2
1,A2,6,1,0,0,0
1,A3,14,1,99,5,99
1,A1,2,2,2,5,2
2,A4,2,3,3,0,3
2,A1,14,1,99,0,99
2,A4,2,0,0,0,0
2,A2,0,7,0,0,0
2,A5,13,6,0,0,0
2,A1,2,2,2,5,2
2,A4,0,4,1,0,1
2,A3,14,1,99,5,99
2,A2,4,7,6,0,6
2,A1,2,3,3,5,3
2,A5,1,4,3,0,3
2,A2,3,10,1,0,1
2,A3,14,6,72,5,72
2,A3,0,0,53,5,53
2,A5,3,11,85,5,85
3,A1,14,1,99,0,99
3,A4,7,8,3,0,3
3,A2,12,10,2,0,2
3,A4,10,8,2,5,2
3,A2,9,8,0,0,0
3,A1,3,11,85,5,85
3,A4,12,8,3,5,3
3,A5,12,11,2,0,2
3,A3,13,6,0,0,0
3,A2,6,5,2,0,2
3,A1,0,0,53,5,53
3,A5,3,9,2,0,2
3,A3,13,3,1,0,1
3,A5,6,4,1,0,1
3,A3,12,1,3,0,3
4,A4,12,11,2,0,2
4,A1,14,1,99,0,99
4,A5,7,11,2,0,2
4,A4,2,3,3,5,3
4,A2,14,13,28,4,28
4,A1,3,11,85,0,85
4,A5,0,6,14,3,14
4,A4,6,10,2,5,2
4,A2,8,14,1,0,1
4,A5,14,3,13,2,13
4,A3,9,0,20,1,20
4,A1,2,3,3,5,3
4,A2,11,14,1,0,1
4,A3,6,0,51,4,51
4,A3,4,0,43,4,43
5,A4,6,12,3,0,3
5,A1,14,1,99,0,99
5,A5,1,5,4,0,4
5,A2,2,14,20,4,20
5,A4,8,13,3,5,3
5,A3,3,0,2,0,2
5,A4,11,13,8,5,8
5,A1,3,11,85,0,85
5,A5,11,13,8,2,8
5,A3,2,0,0,0,0
5,A2,0,12,2,4,2
5,A3,1,0,6,1,6
5,A5,4,14,1,0,1
5,A1,2,2,2,5,2
5,A2,1,8,3,0,3
6,A1,14,1,99,0,99
6,A3,13,0,19,0,19
6,A4,1,13,4,5,4
6,A5,4,2,0,0,0
6,A2,0,8,1,0,1
6,A3,12,0,12,0,12
6,A1,3,11,85,0,85
6,A4,0,10,2,5,2
6,A4,5,8,0,5,0
6,A5,1,1,6,0,6
6,A2,0,10,2,0,2
6,A1,2,2,2,5,2
6,A3,14,1,99,1,99
6,A5,7,0,3,0,3
6,A2,0,5,1,0,1
7,A1,14,1,99,0,99
7,A3,12,5,0,0,0
7,A4,8,1,86,0,86
7,A4,9,0,20,0,20
7,A5,12,1,3,0,3
7,A3,12,4,6,0,6
7,A1,3,11,85,0,85
7,A4,10,1,0,0,0
7,A3,12,3,1,0,1
7,A1,2,2,2,5,2
7,A2,8,6,44,4,44
7,A5,4,6,2,0,2
7,A5,0,3,2,0,2
7,A2,8,8,2,0,2
7,A2,6,7,6,4,6
8,A1,14,1,99,0,99
8,A4,7,1,3,0,3
8,A3,14,1,99,5,99
8,A5,12,3,1,0,1
8,A4,8,1,86,0,86
8,A1,3,11,85,0,85
8,A4,8,3,1,0,1
8,A2,7,0,3,4,3
8,A3,0,7,0,0,0
8,A5,13,6,0,0,0
8,A2,6,1,0,0,0
8,A5,5,5,4,1,4
8,A3,14,6,72,5,72
8,A1,2,2,2,0,2
8,A2,7,3,1,0,1
9,A4,8,1,86,0,86
9,A4,12,0,12,0,12
9,A5,4,1,27,5,27
9,A3,12,9,86,5,86
9,A4,9,0,20,0,20
9,A2,12,7,1,0,1
9,A1,14,1,99,0,99
9,A3,14,1,99,5,99
9,A5,1,6,1,0,1
9,A2,12,4,6,0,6
9,A3,10,9,53,5,53
9,A5,12,11,2,0,2
9,A1,3,11,85,0,85
9,A2,12,1,3,0,3
9,A1,6,10,2,5,2
10,A4,8,1,86,0,86
10,A3,12,9,86,1,86
10,A2,8,4,2,0,2
10,A4,6,2,1,0,1
10,A4,6,1,0,0,0
10,A3,14,1,99,1,99
10,A1,14,1,99,0,99
10,A5,6,1,0,0,0
10,A1,3,11,85,0,85
10,A5,3,6,0,0,0
10,A2,10,12,6,4,6
10,A3,0,0,53,3,53
10,A5,1,9,2,0,2
10,A1,11,13,8,0,8
10,A2,4,5,8,5,8
11,A4,8,1,86,0,86
11,A1,14,1,99,0,99
11,A4,2,1,2,0,2
11,A5,6,3,2,0,2
11,A4,12,1,3,0,3
11,A1,3,11,85,0,85
11,A3,14,1,99,2,99
11,A2,5,12,1,0,1
11,A5,5,12,1,0,1
11,A3,12,9,86,1,86
11,A1,12,8,3,5,3
11,A5,0,4,1,0,1
11,A3,9,9,2,0,2
11,A2,8,5,1,0,1
11,A2,6,2,1,0,1
12,A4,8,1,86,0,86
12,A1,14,1,99,0,99
12,A3,14,1,99,1,99
12,A4,11,2,1,0,1
12,A5,5,12,1,0,1
12,A1,3,11,85,0,85
12,A4,12,2,44,0,44
12,A3,12,9,86,2,86
12,A5,2,14,20,0,20
12,A1,0,0,53,0,53
12,A3,10,5,27,1,27
12,A2,2,14,20,5,20
12,A5,14,11,13,4,13
12,A2,14,8,3,0,3
12,A2,0,5,1,0,1
13,A4,8,1,86,0,86
13,A1,14,1,99,0,99
13,A3,14,1,99,1,99
13,A4,12,2,44,0,44
13,A5,0,8,1,0,1
13,A2,4,3,0,0,0
13,A1,3,11,85,0,85
13,A4,13,2,0,0,0
13,A3,12,9,86,2,86
13,A3,9,10,21,1,21
13,A5,2,1,2,1,2
13,A1,4,1,27,5,27
13,A2,7,11,2,1,2
13,A5,1,1,6,2,6
13,A2,6,11,3,1,3
14,A4,9,1,2,0,2
14,A1,14,1,99,0,99
14,A3,14,1,99,1,99
14,A4,10,1,0,0,0
14,A3,12,9,86,1,86
14,A5,8,12,22,5,22
14,A1,3,11,85,0,85
14,A4,8,1,86,0,86
14,A3,9,3,20,1,20
14,A2,11,13,8,1,8
14,A1,2,14,20,5,20
14,A5,5,12,1,0,1
14,A2,10,0,8,2,8
14,A5,1,13,4,2,4
14,A2,9,1,2,0,2
15,A4,8,1,86,0,86
15,A1,14,1,99,0,99
15,A3,14,1,99,1,99
15,A4,12,2,44,0,44
15,A1,3,11,85,0,85
15,A5,8,6,44,5,44
15,A3,12,9,86,1,86
15,A4,12,4,6,0,6
15,A3,6,5,2,1,2
15,A2,3,3,4,4,4
15,A5,2,6,3,2,3
15,A1,6,0,51,1,51
15,A5,9,2,2,0,2
15,A2,14,11,13,5,13
15,A2,14,10,7,3,7
16,A4,8,1,86,0,86
16,A1,14,1,99,0,99
16,A3,14,1,99,1,99
16,A4,12,2,44,0,44
16,A5,6,8,0,0,0
16,A3,12,9,86,1,86
16,A4,12,5,0,0,0
16,A2,1,8,3,1,3
16,A3,14,6,72,1,72
16,A1,3,11,85,0,85
16,A5,2,8,7,2,7
16,A2,5,4,3,5,3
16,A1,13,11,4,5,4
16,A5,10,12,6,2,6
16,A2,10,4,6,4,6
17,A4,8,1,86,0,86
17,A1,14,1,99,0,99
17,A4,13,2,0,0,0
17,A3,14,1,99,0,99
17,A5,11,3,45,5,45
17,A2,9,0,20,5,20
17,A1,3,11,85,0,85
17,A3,12,9,86,0,86
17,A4,12,2,44,0,44
17,A1,14,11,13,5,13
17,A3,14,6,72,0,72
17,A2,12,0,12,5,12
17,A5,2,8,7,3,7
17,A2,14,0,2,0,2
17,A5,1,7,3,1,3
18,A4,8,1,86,0,86
18,A1,14,1,99,0,99
18,A4,12,2,44,0,44
18,A1,3,11,85,0,85
18,A3,14,1,99,0,99
18,A2,1,14,71,5,71
18,A4,5,2,1,0,1
18,A3,12,9,86,0,86
18,A1,14,12,0,0,0
18,A5,11,13,8,2,8
18,A3,12,0,12,1,12
18,A5,8,14,1,1,1
18,A2,13,14,3,4,3
18,A2,1,13,4,1,4
18,A5,8,2,1,1,1
19,A4,8,1,86,0,86
19,A1,14,1,99,0,99
19,A3,2,2,2,1,2
19,A4,12,2,44,0,44
19,A5,4,6,2,1,2
19,A2,0,12,2,0,2
19,A1,3,11,85,0,85
19,A4,8,4,2,0,2
19,A3,14,1,99,0,99
19,A5,3,8,5,1,5
19,A1,0,0,53,0,53
19,A3,12,9,86,0,86
19,A2,0,11,71,5,71
19,A5,1,10,3,1,3
19,A2,9,2,2,0,2
20,A4,8,1,86,0,86
20,A1,14,1,99,0,99
20,A3,14,1,99,0,99
20,A5,11,4,2,0,2
20,A4,6,0,51,0,51
20,A2,9,3,20,5,20
20,A1,3,11,85,0,85
20,A3,12,9,86,0,86
20,A4,12,2,44,0,44
20,A5,7,3,1,0,1
20,A1,0,0,53,0,53
20,A2,7,2,1,0,1
20,A3,14,6,72,0,72
20,A5,8,10,1,0,1
20,A2,7,1,3,0,3
